Quarter,Pig Iron,Steel Billets,Rebar,Hot Rolled Coils,Cold Rolled Coils,Galvanized Steel,Structural Steel,Iron Pellets,Iron Concentrate,Sponge Iron,Foundry Pig Iron,Cast Iron Pipes,Wire Rods,Tinplate,Silicon Steel,Railway Tracks,Heavy Plates,Stainless Steel,Ferrosilicon,Ferrochrome
2014-Q1,4544.84,7355.2,4347.6,4144.33,4873.42,3992.79,4487.16,5899.5,5730.01,5889.15,4264.55,7908.15,6766.8,7168.18,6935.78,5264.49,4382.06,4782.48,5694.54,6920.8
2014-Q2,4318.13,7047.45,4407.78,4207.7,4750.75,4033.34,4372.19,5472.76,5735.57,5846.15,4297.19,7855.14,6850.64,6872.47,6946.64,5355.07,4351.55,4788.18,5660.33,7063.51
2014-Q3,4195.07,6762.35,4100.53,4052.45,4697.15,3864.03,4170.84,5510.44,5548.85,5849.03,4353.52,7626.34,6854.51,6719.99,6474.93,5050.68,4268.15,4776.64,5553.08,6826.76
2014-Q4,3989.46,6755.87,4016.86,3860.95,4625.95,3646.24,4181.71,5467.03,5324.61,5874.29,4377.02,7784.83,6383.56,6520.39,6171.78,5155.75,4161.27,4518.77,5182.97,6743.92
2015-Q1,4018.51,6688.66,3898.2,3864.27,4363.91,3578.54,3966.76,5301.99,5232.63,5898.53,4373.5,7847.17,6083.08,6405.9,6160.86,4860.65,4031.29,4589.65,5248.89,6696.23
2015-Q2,3917.44,6785.2,3708.55,3904.84,4323.25,3644.57,4030.0,4947.91,5243.5,5520.86,4179.61,7504.5,5650.48,6178.3,6259.47,4566.41,4135.62,4489.51,5250.01,6242.57
2015-Q3,3735.34,6608.14,3491.02,3769.46,4083.8,3626.42,3895.51,4806.92,5076.78,5384.6,4061.07,7732.6,5511.0,6137.76,6125.01,4595.9,4202.41,4499.66,4859.69,6217.56
2015-Q4,3693.68,6208.13,3360.64,3545.49,3892.52,3563.78,3911.01,4661.48,5208.99,5022.15,3976.77,7899.98,5363.16,5788.0,6005.68,4761.79,4325.84,4435.72,4795.19,5896.84
2016-Q1,3457.9,6192.26,3434.18,3628.25,3869.22,3337.75,3680.69,4384.33,4885.05,4925.21,3740.12,8170.49,5405.1,5749.37,5639.24,4886.37,4095.17,4556.98,4787.43,6045.15
2016-Q2,3512.6,6205.18,3301.08,3519.86,3809.7,3294.74,3541.45,4234.78,4763.15,4778.24,3681.08,8269.06,5171.29,5551.46,5482.68,4859.58,4121.13,4572.16,4595.03,5715.91
2016-Q3,3432.74,6097.22,3236.32,3456.16,3824.86,3372.87,3506.55,4075.78,4901.68,4843.69,3589.72,8276.91,5204.17,5610.57,5376.13,4996.69,4231.35,4567.07,4273.9,5553.58
2016-Q4,3336.29,6116.01,3231.16,3502.01,3768.99,3173.07,3280.97,4008.88,4842.03,4656.32,3629.49,8124.89,5314.22,5474.05,5119.2,4687.84,4029.41,4593.98,3978.71,5216.66
2017-Q1,3416.71,5969.3,3118.71,3492.85,3681.27,3102.24,3068.11,3950.58,4723.84,4369.93,3732.33,8389.37,4970.62,5585.02,4887.93,4846.79,3791.63,4335.36,3714.32,5366.17
2017-Q2,3432.16,5842.98,3195.77,3504.09,3426.1,3141.69,3118.3,3666.57,4675.9,4112.22,3683.53,8607.11,4990.31,5496.29,4718.74,4779.43,3819.49,4117.37,3733.29,5259.83
2017-Q3,3312.6,5665.01,3271.81,3334.66,3279.7,3139.76,3092.14,3520.38,4631.84,4117.91,3551.02,8131.25,4911.81,5206.53,4390.65,4822.52,3784.95,4115.63,3777.84,5203.62
2017-Q4,3276.55,5269.99,3122.14,3282.06,3106.94,3124.43,2864.01,3466.03,4659.12,4066.03,3325.95,7666.53,4781.88,5235.32,4214.97,4912.64,3850.25,4025.26,3533.61,4878.62
2018-Q1,3224.93,4944.95,3054.3,3279.94,2936.88,3110.83,2752.19,3371.15,4409.91,3809.62,3402.8,7494.02,4627.64,5021.15,4000.75,4954.78,3650.79,4039.55,3344.02,4900.39
2018-Q2,3313.61,4603.04,2929.25,3127.61,2983.83,2993.17,2654.0,3394.69,4227.07,3563.05,3479.57,7647.35,4642.74,4816.98,3842.79,4907.58,3697.06,3796.25,3141.72,4662.91
2018-Q3,3366.76,4556.74,2804.72,2965.93,2863.68,2860.71,2639.31,3353.11,4189.16,3546.94,3330.6,7937.57,4592.08,4472.91,3613.05,4832.54,3528.04,3728.68,2958.01,4751.39
2018-Q4,3388.61,4367.57,2617.43,3047.27,2886.97,2878.1,2498.35,3150.41,4269.62,3313.45,3332.63,7581.38,4616.2,4378.66,3669.22,4931.29,3353.56,3604.78,2972.27,4518.92
2019-Q1,3341.51,4269.11,2589.33,2991.79,2837.38,2895.81,2348.78,2931.67,4223.49,3337.55,3131.87,7574.1,4684.62,4280.3,3619.78,4723.72,3187.92,3512.58,2840.6,4291.41
2019-Q2,3310.5,4339.21,2534.45,2862.31,2833.69,2929.72,2184.57,2891.12,4043.64,3324.17,2971.12,7406.98,4623.41,4109.74,3601.26,4880.59,3234.37,3473.26,2709.05,4010.54
2019-Q3,3402.86,4131.51,2368.83,2944.76,2749.69,2977.23,2105.53,2678.0,4046.85,3108.13,2833.36,7675.36,4726.8,4161.47,3621.58,4918.84,3233.98,3399.81,2561.45,3919.22
2019-Q4,3378.06,3998.75,2266.69,3020.68,2688.0,2908.74,2082.53,2626.21,4073.97,2907.19,2723.6,7856.38,4660.81,3903.53,3539.1,4709.09,3188.38,3340.42,2516.64,3865.62
2020-Q1,3243.61,4005.05,2308.61,2978.02,2605.68,2839.04,1932.35,2665.93,3900.34,2975.08,2805.56,8038.72,4608.72,3738.14,3316.15,4757.75,3091.91,3264.58,2416.69,3623.66
2020-Q2,3120.97,3805.32,2200.23,3030.64,2450.74,2853.24,1953.77,2611.71,3787.59,2866.77,2807.68,7931.21,4520.43,3576.66,3253.16,4709.99,3156.02,3165.73,2406.43,3648.91
2020-Q3,2962.8,3559.14,2076.57,2878.06,2430.35,2826.2,1885.74,2511.02,3736.42,2761.39,2723.63,7782.85,4229.3,3342.26,3207.18,4745.18,3070.96,3182.31,2270.22,3559.11
2020-Q4,2769.11,3402.84,2029.87,2758.59,2306.0,2813.76,1783.0,2476.5,3672.07,2779.03,2736.43,7528.33,4219.06,3249.83,3211.57,4808.98,3116.33,2962.39,2270.2,3496.32
2021-Q1,2698.99,3210.69,2082.77,2758.04,2130.64,2827.14,1660.6,2397.9,3570.21,2833.25,2797.14,7120.43,4135.2,3225.38,3117.46,4550.65,3046.66,2927.63,2229.56,3405.98
2021-Q2,2623.08,3270.35,1985.51,2797.05,2097.0,2866.57,1560.95,2342.17,3438.9,2899.24,2871.11,7304.29,4014.06,3145.77,2933.47,4494.31,2959.91,2883.83,2083.57,3304.63
2021-Q3,2523.18,3292.29,1976.35,2839.25,1968.62,2752.14,1581.19,2377.88,3245.59,2900.95,2693.21,7455.43,4076.43,2959.44,2805.11,4627.59,2900.59,2883.22,2007.95,3257.74
2021-Q4,2357.85,3258.21,1984.54,2756.36,1993.88,2652.37,1556.21,2285.73,3048.32,2795.91,2615.32,7747.56,3896.19,2847.65,2704.12,4485.59,2796.44,2849.55,2022.71,3082.42
2022-Q1,2246.13,3300.22,1891.0,2806.45,2022.06,2483.32,1513.25,2324.96,3134.26,2614.79,2465.81,8048.76,3809.68,2636.15,2681.51,4468.92,2818.77,2879.79,2049.26,2924.59
2022-Q2,2252.78,3320.93,1892.66,2847.31,2042.99,2442.42,1492.11,2352.24,3188.3,2622.4,2380.25,8010.21,3789.78,2662.67,2639.4,4353.21,2773.38,2947.63,1985.08,2969.69
2022-Q3,2276.88,3141.63,1827.56,2912.41,1956.17,2272.92,1439.19,2217.56,3088.99,2574.05,2258.88,8141.15,3806.51,2486.15,2542.57,4277.04,2654.93,2839.21,1925.84,3040.03
